Time (Sec.) (seconds),eyy,Load (kN) (N)
1.22,0,13.3
2.218132673,0.000327896,17.47400936
3.216265347,0.000134343,22.42705456
4.21439802,0.000754115,27.46864306
5.212530693,9.10E-05,34.07888497
6.210663366,0.000559777,40.95036743
7.20879604,0.000630239,48.1320069
8.206928713,0.000515451,55.31364638
9.205061386,0.000890727,63.11569804
10.20319406,0.000744044,69.72378459
11.20132673,0.001053327,75.44101231
12.19945941,0.001052941,81.15824003
13.19759208,0.001024544,83.14837546
14.19572475,0.001442071,82.00280118
15.19385743,0.001146733,77.78150338
16.1919901,0.001243247,74.34135665
17.19012277,0.001102021,77.617815
18.18825545,0.001391717,80.89427335
19.18638812,0.001169778,89.07507717
20.18452079,0.001498872,94.26390568
21.18265347,0.001535991,98.53073237
22.18078614,0.001308459,102.8345105
23.17891881,0.001356211,107.1477427
24.17705149,0.001359032,113.750008
25.17518416,0.001079224,120.8358324
26.17331683,0.001085054,129.6918311
27.1714495,0.00135634,138.8266342
28.16958218,0.001228432,150.0268048
29.16771485,0.001453246,162.6418561
30.16584752,0.001291099,177.1498341
31.1639802,0.001410819,191.6578121
32.16211287,0.001652336,206.7841608
33.16024554,0.001771486,222.0356715
34.15837822,0.002141901,237.2278051
35.15651089,0.001841339,251.7859804
36.15464356,0.002129276,264.5227013
37.15277624,0.002726824,276.1361164
38.15090891,0.003101682,284.96314
39.14904158,0.003598217,292.1786141
40.14717426,0.00453296,298.4817785
41.14530693,0.004991959,303.7252522
42.1434396,0.005770059,307.8255352
43.14157228,0.006457716,311.5195865
44.13970495,0.007277896,315.2252241
45.13783762,0.00799329,319.295912
46.1359703,0.008614318,322.8101726
47.13410297,0.009296818,326.1874662
48.13223564,0.010172074,329.3293619
49.13036832,0.010959692,332.0241045
50.12850099,0.011593169,334.6540282
51.12663366,0.012482774,337.2163291
52.12476634,0.013282417,339.7527063
53.12289901,0.013669664,342.2814363
54.12103168,0.014398933,344.6261586
55.11916436,0.015234936,346.8828064
56.11729703,0.015783484,349.3227291
57.1154297,0.016484511,351.7726911
58.11356238,0.017138339,354.205257
59.11169505,0.018006174,356.4916601
60.10982772,0.018536523,358.6421085
61.1079604,0.018949045,360.7804502
62.10609307,0.019753547,362.6496125
63.10422574,0.020552075,364.710583
64.10235842,0.021268214,367.0176197
65.10049109,0.021695792,368.8615495
66.09862376,0.022647441,370.6883302
67.09675644,0.023126094,372.4740594
68.09488911,0.023625917,374.3117677
69.09302178,0.024542733,376.3002213
70.09115446,0.025228211,378.2886748
71.08928713,0.025903907,380.2544656
72.0874198,0.026541649,382.1915425
73.08555248,0.027106077,383.9813698
74.08368515,0.02777236,385.6657187
75.08181782,0.02843596,387.3677878
76.0799505,0.029204256,388.9860957
77.07808317,0.03009087,390.4748359
78.07621584,0.030594359,392.0793137
79.07434851,0.031011545,393.6949722
80.07248119,0.031526609,395.3196032
81.07061386,0.032551509,396.9330872
82.06874653,0.033334391,398.43216
83.06687921,0.034088244,399.8927143
84.06501188,0.034234258,401.3128218
85.06314455,0.035014338,402.7526951
86.06127723,0.03574027,404.2111006
87.0594099,0.036697765,405.7140562
88.05754257,0.037204874,407.2280169
89.05567525,0.037904742,408.5572511
90.05380792,0.038680736,409.8772638
91.05194059,0.039347279,411.2906464
92.05007327,0.040101355,412.7018411
93.04820594,0.040770802,414.0905474
94.04633861,0.04151828,415.4365701
95.04447129,0.042303344,416.7229463
96.04260396,0.04291717,417.9670474
97.04073663,0.043995057,419.1205658
98.03886931,0.044653615,420.5075492
99.03700198,0.045089007,421.9375387
100.0351347,0.045782895,423.1295303
101.0332673,0.047152613,424.2407139
102.0314,0.047804651,425.1933236
103.0295327,0.048121862,426.192061
104.0276653,0.048806707,427.4645402
105.025798,0.049734857,428.7533844
106.0239307,0.05063433,430.0735139
107.0220634,0.050924279,431.302007
108.020196,0.051930793,432.4697105
109.0183287,0.052589471,433.6156321
110.0164614,0.053355696,434.7488435
111.0145941,0.054182967,435.8347379
112.0127267,0.054826536,436.8567168
113.0108594,0.055534762,437.5603519
114.0089921,0.056241224,438.3763526
115.0071248,0.056779175,439.6475353
116.0052574,0.057467903,440.7535322
117.0033901,0.058516157,441.3658835
118.0015228,0.059202865,442.3790288
118.9996554,0.059944914,443.5045731
119.9977881,0.060543381,444.4595927
120.9959208,0.061498329,445.309681
121.9940535,0.062058343,446.427689
122.9921861,0.062942045,447.3742505
123.9903188,0.063653218,448.1410041
124.9884515,0.064347494,448.9418859
125.9865842,0.064437541,449.834594
126.9847168,0.065335148,450.7273021
127.9828495,0.066502072,451.6470892
128.9809822,0.067107294,452.589097
129.9791149,0.067842833,453.7751208
130.9772475,0.068403673,454.5666756
131.9753802,0.069176209,454.9189577
132.9735129,0.070085106,455.7508459
133.9716455,0.070701639,456.7193346
134.9697782,0.07160047,457.4436032
135.9679109,0.07193634,458.1678718
136.9660436,0.07284162,458.6893338
137.9641762,0.073615753,459.1655421
138.9623089,0.074458814,460.1000472
139.9604416,0.075023391,461.0002381
140.9585743,0.075658752,461.538315
141.9567069,0.076648756,462.1454233
142.9548396,0.077546887,462.81789
143.9529723,0.07834704,463.5054874
144.951105,0.079114511,464.212997
145.9492376,0.079770797,464.8608501
146.9473703,0.08046662,465.4679868
147.945503,0.081154822,466.0724889
148.9436356,0.081804181,466.6583335
149.9417683,0.082471603,467.2213271
150.939901,0.083231494,467.7770327
151.9380337,0.08414086,468.3729273
152.9361663,0.084789508,469.0245917
153.934299,0.085321177,469.6374116
154.9324317,0.086215034,470.2217984
155.9305644,0.087082923,470.8126797
156.928697,0.087767844,471.4033675
157.9268297,0.088387493,471.8400505
158.9249624,0.089200321,472.3019812
159.923095,0.089780714,472.8010475
160.9212277,0.090185234,473.3039004
161.9193604,0.091021798,473.8006417
162.9174931,0.091934816,474.271459
163.9156257,0.092531457,474.7422763
164.9137584,0.093088997,475.2892505
165.9118911,0.094132277,475.8468665
166.9100238,0.095065109,476.4225832
167.9081564,0.095544629,477.0224719
168.9062891,0.096659365,477.7284417
169.9044218,0.097549464,478.2842455
170.9025545,0.098082174,478.537965
171.9006871,0.098599873,478.8891716
172.8988198,0.099408924,479.4126677
173.8969525,0.100291574,480.11913
174.8950851,0.100964329,480.9275528
175.8932178,0.102011855,481.1
176.8913505,0.102750862,481.1
177.8894832,0.103288811,481.6755871
178.8876158,0.104358669,482.284514
179.8857485,0.105203048,482.7628987
180.8838812,0.105864069,483.1736704
181.8820139,0.106400071,483.5204449
182.8801465,0.1073399,483.8439522
183.8782792,0.108476709,484.1605326
184.8764119,0.109167298,484.752679
185.8745446,0.110021174,485.5618196
186.8726772,0.110654852,485.8508983
187.8708099,0.111310735,486.0328733
188.8689426,0.112179777,486.4632887
189.8670752,0.11279211,487.0389131
190.8652079,0.11363306,487.5161903
191.8633406,0.114427369,487.9328353
192.8614733,0.115468337,488.1197515
193.8596059,0.116539857,488.3991629
194.8577386,0.117245296,488.7481604
195.8558713,0.117643929,489.0757084
196.854004,0.118624461,489.3790926
197.8521366,0.119637422,489.6697544
198.8502693,0.12035853,489.7
199.848402,0.121109433,489.7714336
200.8465347,0.121814949,490.1779297
201.8446673,0.122642536,490.5844258
202.8428,0.123495064,491.0051
203.8409327,0.124409073,491.441783
204.8390653,0.125100571,491.5
205.837198,0.125991959,491.5529612
206.8353307,0.127158577,491.9049121
207.8334634,0.127581616,492.256863
208.831596,0.128176092,492.5841434
209.8297287,0.12920264,492.8562996
210.8278614,0.130096268,493.115112
211.8259941,0.130808074,493.371372
212.8241267,0.131624921,493.7484081
213.8222594,0.132768074,494.2471627
214.8203921,0.133289893,494.6396354
215.8185248,0.134141854,495.0195147
216.8166574,0.135108536,495.3860572
217.8147901,0.135951217,495.4651506
218.8129228,0.136819899,495.4143551
219.8110554,0.137962597,495.6500776
220.8091881,0.13873846,495.9986687
221.8073208,0.139392259,496.361979
222.8054535,0.139980351,496.819139
223.8035861,0.140843034,497.1697391
224.8017188,0.14185326,497.0091027
225.7998515,0.142640586,497.1516931
226.7979842,0.143833271,497.2942835
227.7961168,0.144553201,497.3870224
228.7942495,0.145471863,497.4776793
229.7923822,0.146085385,497.7828504
230.7905149,0.147096253,498.1580883
231.7886475,0.147720662,498.2803851
232.7867802,0.148650941,498.3708776
233.7849129,0.149590032,498.5380516
234.7830455,0.150179354,498.7207363
235.7811782,0.15112149,498.8221726
236.7793109,0.152167033,498.9941074
237.7774436,0.152644417,499.3984436
238.7755762,0.153743419,499.6680593
239.7737089,0.154564802,499.8098608
240.7718416,0.155120123,500.1650682
241.7699743,0.156149647,500.50488
242.7681069,0.157096555,500.5903732
243.7662396,0.158026035,500.6758663
244.7643723,0.158976327,500.8092586
245.762505,0.159802206,500.9614903
246.7606376,0.160668028,500.9394283
247.7587703,0.161493152,501.141562
