eyy,Load (kN) (N)
0,8.4
4.39E-05,11.44480634
-6.25E-05,14.43877526
-6.56E-05,17.35346353
-0.000144003,21.27261782
1.19E-05,25.95694655
0.000115305,31.2624535
0.000145616,37.24392642
0.000144739,43.7826234
0.000159614,51.30691161
0.000233881,58.75675906
0.000198515,65.67512579
0.000404501,71.45724624
0.000261467,71.60566348
0.000378474,67.88670947
0.000482763,70.05437706
0.000582337,72.25332524
0.000419142,77.49683767
0.00027438,83.07496776
0.000309095,89.53663671
0.000403358,96.11068106
0.00054856,102.628968
0.000491896,109.0991005
0.000411692,118.0450216
0.000502827,128.6551686
0.000555969,139.7594599
0.000577485,150.8969642
0.000661391,162.002803
0.000657226,173.5625422
0.000559495,185.2179072
0.000622596,196.7774659
0.000760074,208.3679765
0.00074165,220.0161626
0.000789783,230.6762954
0.000916637,240.3899422
0.001164636,249.0442347
0.001578794,256.7709299
0.002135054,263.5568112
0.002272769,268.4841818
0.002977732,272.9532783
0.003735235,277.0384344
0.004905299,280.4887856
0.005996963,283.9085252
0.006754693,287.1629702
0.007811088,290.4651039
0.008563305,293.8786771
0.009271489,297.3681116
0.010231793,300.6417796
0.01087231,303.8368291
0.011807715,306.9176522
0.012342899,309.9330851
0.012969316,313.2602659
0.014076074,316.5648842
0.014848764,319.1036521
0.015363106,321.626811
0.016347728,324.1499699
0.01705288,326.6632633
0.017809774,329.3386206
0.018415604,332.2719264
0.019122939,334.4460624
0.020137406,336.6346028
0.020689108,339.2730639
0.021661048,341.463271
0.022180163,343.9597222
0.02310405,346.5098618
0.023946157,348.640961
0.024621099,350.7696846
0.025346709,352.8305278
0.026090618,354.8496585
0.026897927,356.8140629
0.027579318,358.7650972
0.028329657,360.5930705
0.029051367,362.4850722
0.029958073,364.8035714
0.030643819,366.7610928
0.031505568,368.4133123
0.031992301,370.3670405
0.032722987,372.3381817
0.033772781,374.3727624
0.034476591,376.0010279
0.035113346,377.5613239
0.035932585,378.9449165
0.036326233,380.3907075
0.037592735,382.1509025
0.038309515,384.3936688
0.038894257,386.2820008
