Displacement (mm),Load (kN),Time (Sec.)
0,13.3,1.22
0.01,17.9,2.32
0.02,27.8,4.28
0.03,38.6,5.884
0.04,57.3,8.483
0.05,66.2,9.588
0.06,83,12.521
0.07,83.3,13.889
0.08,74,16.088
0.09,80.9,18.19
0.1,91,19.421
0.11,99.4,21.386
0.12,107.9,23.353
0.13,121.8,25.311
0.14,140.9,27.398
0.15,158.3,28.869
0.16,194.1,31.332
0.17,222.2,33.171
0.18,248.5,34.899
0.19,273.6,36.866
0.2,286.6,38.336
0.21,296.7,39.808
0.22,305.1,41.407
0.23,315.1,44.109
0.24,320.1,45.335
0.25,328.4,47.788
0.26,333.4,49.64
0.27,337.8,51.354
0.28,343.1,53.446
0.29,347,55.171
0.3,352.4,57.371
0.31,355.4,58.605
0.32,360.7,61.065
0.33,363.7,62.667
0.34,367.1,64.138
0.35,370.7,66.105
0.36,373.8,67.838
0.37,379.4,70.649
0.38,383,72.504
0.39,385.7,74.104
0.4,388.4,75.687
0.41,390.6,77.162
0.42,393.6,79.016
0.43,396.8,80.982
0.44,399.2,82.58
0.45,402,84.548
0.46,404.5,86.259
0.47,407.3,88.105
0.48,409.9,90.071
0.49,412.5,91.905
0.5,414.9,93.63
0.51,417.6,95.725
0.52,419.3,97.196
0.53,422.3,99.29
0.54,424.6,101.356
0.55,425.8,102.722
0.56,428.3,104.683
0.57,430.6,106.422
0.58,432.9,108.388
0.59,435.4,110.59
0.6,436.9,112.055
0.61,438.1,113.792
0.62,440.6,115.755
0.63,441.5,117.222
0.64,444,119.439
0.65,445.2,120.898
0.66,447,122.505
0.67,448.7,124.718
0.68,450.8,127.066
0.69,452.5,128.906
0.7,454.4,130.505
0.71,455,132.205
0.72,456.7,133.945
0.73,458.3,136.15
0.74,459.3,138.246
0.75,460.8,139.589
0.76,461.8,141.444
0.77,463.2,143.522
0.78,464.5,145.356
0.79,466,147.822
0.8,466.8,149.185
0.81,468.1,151.52
0.82,469.3,153.358
0.83,470.3,155.066
0.84,471.4,156.921
0.85,472.1,158.521
0.86,472.9,160.121
0.87,473.7,161.706
0.88,474.8,164.038
0.89,475.9,166.007
0.9,476.9,167.735
0.91,478.2,169.573
0.92,478.7,171.54
0.93,479.6,173.256
0.94,481.1,175.108
0.95,481.1,176.946
0.96,482.3,178.913
0.97,483,180.384
0.98,483.6,182.111
0.99,484.3,184.318
1,485.7,186.045
1.01,486.1,188.239
1.02,487.1,189.973
1.03,487.9,191.688
1.04,488.2,193.29
1.05,488.8,195.006
1.06,489.2,196.239
1.07,489.7,197.956
1.08,489.7,199.673
1.09,490.8,202.374
1.1,491.5,203.974
1.11,491.5,205.687
1.12,492.5,208.523
1.13,492.9,209.99
1.14,493.5,212.327
1.15,494.3,213.928
1.16,495.1,216.03
1.17,495.5,217.13
1.18,495.4,219.095
1.19,496.3,221.672
1.2,497.2,223.637
1.21,497,224.738
1.22,497.3,226.838
1.23,497.5,229.04
1.24,498.2,230.902
1.25,498.4,233.108
1.26,498.7,234.579
1.27,498.9,236.547
1.28,499.6,238.275
1.29,499.8,239.746
1.3,500.5,241.713
1.31,500.7,244.048
1.32,501,246.015
1.33,500.9,247.246
1.34,502,249.581
1.35,501.9,250.924
1.36,502.2,253.494
1.37,502.4,254.972
1.38,502.2,257.19
1.39,502.8,259.158
1.4,503.1,260.757
1.41,503.1,262.965
1.42,503.9,265.06
1.43,503.9,266.9
1.44,503.7,267.763
1.45,504.4,269.97
1.46,504.7,271.693
1.47,504.9,273.536
1.48,504.7,275.743
1.49,505.4,277.103
1.5,505.2,279.07
1.51,505.7,281.037
1.52,505.8,282.374
1.53,505.8,284.573
1.54,505.6,285.946
1.55,505.7,287.774
1.56,506.2,290.742
1.57,506.4,292.207
1.58,506.5,294.175
1.59,506.4,296.141
1.6,506.6,297.974
1.61,506.4,299.574
1.62,506.6,301.782
1.63,506.4,304.118
1.64,506.7,305.968
1.65,507,307.446
1.66,506.4,309.166
1.67,506.6,311.501
1.68,506.7,312.727
1.69,506.5,314.823
1.7,507.3,317.031
1.71,507.2,318.631
1.72,507.5,320.967
1.73,506.8,323.062
1.74,506.4,324.534
1.75,507.1,326.133
1.76,507.1,328.469
1.77,506.8,330.542
1.78,507.3,332.275
1.79,506.9,334.108
1.8,506.5,335.341
1.81,506.2,337.91
1.82,506.8,339.51
1.83,506.6,341.725
1.84,506.5,343.08
1.85,505.8,345.417
1.86,506.8,346.519
1.87,506.1,348.726
1.88,506,350.574
1.89,506,352.541
1.9,505.7,354.391
1.91,505.5,356.23
1.92,505,358.325
1.93,505,360.775
1.94,504.5,362.499
1.95,504.5,364.338
1.96,504.2,366.193
1.97,504.2,368.147
1.98,504,369.632
1.99,503.4,371.838
2,503.4,373.805
2.01,503.5,375.165
2.02,502.4,377.359
2.03,502.4,378.841
2.04,501.9,381.415
2.05,501.4,382.647
2.06,500.9,385.227
2.07,500.7,386.83
2.08,499.4,388.788
2.09,499.2,390.151
2.1,498.7,392.356
2.11,498.2,394.691
2.12,497.6,396.042
2.13,496.9,398.242
2.14,495.8,400.463
2.15,495,402.182
2.16,493.8,404.398
2.17,493.1,405.879
2.18,492.7,407.353
2.19,492.1,409.56
2.2,490.6,411.892
2.21,489.7,413.622
2.22,488.6,415.222
2.23,487.8,417.17
2.24,486.1,419.397
2.25,484.7,421.364
2.26,483.2,423.441
2.27,482.6,425.159
2.28,481,426.642
2.29,479.7,428.369
2.3,477.4,430.445
2.31,475.9,432.303
2.32,475.3,433.771
2.33,472.8,436.237
2.34,471.7,437.711
2.35,469.4,440.153
2.36,467.5,442.12
2.37,465.5,444.342
2.38,463.5,445.943
2.39,461.7,447.782
2.4,459.7,449.751
2.41,458.1,451.59
2.42,455.5,453.693
2.43,452.9,455.396
2.44,450.3,457.731
2.45,447.6,459.825
2.46,445.4,461.057
2.47,442.4,463.631
2.48,440.3,464.991
2.49,437.2,467.07
2.5,433.7,469.276
2.51,431.7,470.76
2.52,427.7,472.96
2.53,425.7,474.321
2.54,421.8,476.893
2.55,419.2,478.126
2.56,414.2,480.951
2.57,410.7,482.802
2.58,408,484.027
2.59,402.6,486.484
2.6,400,487.707
2.61,396.5,489.309
2.62,391.5,491.638
2.63,387,493.61
2.64,382.2,495.456
2.65,377.2,497.543
2.66,371.8,499.39
2.67,368.7,500.493
2.68,361.7,502.951
2.69,357.4,504.426
2.7,354.8,505.277
