Displacement (mm),Load (kN),Time (Sec.)
0,8.4,0.483
0.01,13.3,2.09
0.02,18.3,3.803
0.03,24.3,5.164
0.04,32.7,6.745
0.05,42,8.235
0.06,54.9,9.947
0.07,64,11.178
0.08,74,12.905
0.09,67.7,14.377
0.1,72.2,16.45
0.11,81.3,18.183
0.12,93.2,20.022
0.13,97.4,20.646
0.14,111.7,22.853
0.15,132.6,24.82
0.16,141,25.556
0.17,164.3,27.651
0.18,183,29.25
0.19,204.3,31.09
0.2,225.6,32.916
0.21,240.1,34.401
0.22,251.8,35.751
0.23,262.5,37.216
0.24,270.4,38.817
0.25,276.6,40.299
0.26,283.4,42.267
0.27,289.4,44.108
0.28,293.6,45.339
0.29,298.3,46.684
0.3,305,48.778
0.31,310.2,50.5
0.32,316.4,52.344
0.33,318.6,53.208
0.34,324.5,55.543
0.35,328.2,57.014
0.36,332.9,58.614
0.37,335.8,60.086
0.38,339.1,61.317
0.39,341.8,62.548
0.4,346.5,64.387
0.41,350.7,66.355
0.42,354,67.954
0.43,357.6,69.784
0.44,360,71.018
0.45,361.6,71.999
0.46,365.9,73.851
0.47,368.3,75.318
0.48,371.9,77.158
0.49,374.4,78.385
0.5,377.2,80.108
0.51,380.1,82.201
0.52,382.7,83.676
0.53,385.7,84.893
0.54,388,86.745
0.55,390.3,88.472
0.56,393,89.816
0.57,394.8,91.535
0.58,397,93.016
0.59,398.6,94.001
0.6,401.2,96.204
0.61,402.7,97.318
0.62,404.7,98.668
0.63,407.5,101.252
0.64,409.4,102.596
0.65,411.1,104.077
0.66,413.3,105.679
0.67,414.7,106.898
0.68,416.1,108.119
0.69,418,110.088
0.7,419.7,111.452
0.71,420.9,112.918
0.72,423.4,114.752
0.73,424.6,116.719
0.74,425.8,117.835
0.75,427.8,119.919
0.76,429.7,121.269
0.77,430.6,123.119
0.78,432.4,124.703
0.79,432.6,126.069
0.8,434.8,128.168
0.81,436.1,129.385
0.82,436.7,131.102
0.83,438,132.941
0.84,439.4,134.668
0.85,440.7,136.022
0.86,442.1,137.612
0.87,442.7,139.219
0.88,444.2,140.573
0.89,445.4,142.541
0.9,445.9,143.762
0.91,447.4,145.484
0.92,448.4,147.084
0.93,449.3,148.786
0.94,450.3,150.656
0.95,450.6,151.985
0.96,451.7,153.585
0.97,452.6,155.324
0.98,453.2,156.301
0.99,454.7,158.029
1,455,159.736
1.01,455.4,160.364
1.02,456.4,162.332
1.03,457.8,164.772
1.04,458.4,166.237
1.05,458.7,167.602
1.06,459.1,169.319
1.07,459.8,170.178
1.08,461.5,172.14
1.09,462.4,173.74
1.1,462.5,175.219
1.11,463.2,176.94
1.12,463.9,178.172
1.13,464.7,179.773
1.14,464.8,181.619
1.15,465.4,183.324
1.16,465.9,184.319
1.17,466.9,186.286
1.18,467.3,188.355
1.19,467.8,189.724
1.2,468.2,191.061
1.21,469.2,192.924
1.22,469.3,194.892
1.23,470.3,196.733
1.24,470.6,198.204
1.25,471.3,199.804
1.26,471.2,201.142
1.27,471.8,203.103
1.28,472.6,204.969
1.29,472.6,206.303
1.3,472.8,207.772
1.31,473.7,209.144
1.32,474.3,210.375
1.33,474.6,212.453
1.34,474.2,214.053
1.35,474.9,216.02
1.36,475.5,216.876
1.37,475.7,219.22
1.38,476,220.819
1.39,476.4,222.418
1.4,477,223.887
1.41,477.1,225.356
1.42,477.5,226.588
1.43,477.4,228.431
1.44,478.5,230.268
1.45,478.2,231.868
1.46,478.5,233.1
1.47,478.9,235.437
1.48,479.1,236.796
1.49,479.3,238.138
1.5,479.6,239.611
1.51,479.6,241.209
1.52,480.1,242.442
1.53,481.1,244.281
1.54,480.1,245.641
1.55,480.7,247.341
1.56,481.2,248.839
1.57,481.3,250.918
1.58,481.3,252.517
1.59,481.4,253.253
1.6,481.8,255.588
1.61,481.6,257.315
1.62,481.9,258.654
1.63,482.3,260.492
1.64,482.4,261.986
1.65,482.4,263.823
1.66,482.8,265.533
1.67,482.9,267.26
1.68,483.1,269.1
1.69,483.1,270.087
1.7,483.3,271.687
1.71,483.4,273.153
1.72,483.2,275.244
1.73,483.4,277.211
1.74,483.6,278.443
1.75,484.1,280.169
1.76,484.3,281.881
1.77,484.6,283.241
1.78,483.6,285.32
1.79,484.4,287.047
1.8,484.6,287.911
1.81,484.6,289.75
1.82,484.4,291.477
1.83,484.8,292.581
1.84,484,294.788
1.85,485.4,296.26
1.86,484.6,297.987
1.87,485,300.194
1.88,485.2,300.925
1.89,484.8,302.399
1.9,485,304.254
1.91,485,305.968
1.92,484.5,307.321
1.93,484.8,309.154
1.94,484.6,310.521
1.95,485,312.237
1.96,484.7,313.708
1.97,484.5,315.676
1.98,485.2,317.513
1.99,484.7,319.002
2,485.2,320.22
2.01,484.8,322.438
2.02,485,323.913
2.03,485.1,325.133
2.04,484.8,326.855
2.05,484.8,329.071
2.06,484.8,330.171
2.07,484.7,331.653
2.08,484.7,334.112
2.09,484.8,335.34
2.1,484.7,337.308
2.11,485,338.888
2.12,484.6,340.119
2.13,484.7,342.221
2.14,484.7,343.322
2.15,484.3,345.052
2.16,484.6,346.888
2.17,484.1,348.121
2.18,484.9,350.321
2.19,484.2,351.922
2.2,484.2,353.155
2.21,484.2,355.122
2.22,483.7,355.97
2.23,484.2,358.557
2.24,483.6,360.038
2.25,483.3,361.385
2.26,484.1,363.105
2.27,483.2,364.343
2.28,482.9,366.671
2.29,482.9,368.272
2.3,482.7,369.989
2.31,482.7,370.85
2.32,483.2,372.814
2.33,483,374.163
2.34,482.7,376.015
2.35,482.3,377.362
2.36,481.9,379.188
2.37,481.6,380.789
2.38,482,382.022
2.39,481.2,384.493
2.4,481,385.467
2.41,480.8,387.189
2.42,480.9,389.405
2.43,480.5,391.132
2.44,480.5,392.603
2.45,480.3,394.331
2.46,480,395.433
2.47,479.9,397.138
2.48,479.4,399.24
2.49,479.4,400.941
2.5,479.1,402.439
2.51,479.3,404.51
2.52,478.5,405.98
2.53,478.2,407.346
2.54,477.5,409.439
2.55,477.4,410.91
2.56,476.8,412.383
2.57,476.8,413.363
2.58,476.5,415.583
2.59,476.1,417.55
2.6,475.4,419.39
2.61,475.2,420.862
2.62,474.8,422.092
2.63,474.3,424.06
2.64,474,425.295
2.65,473.4,427.372
2.66,473.5,429.101
2.67,472.8,430.332
2.68,471.4,432.299
2.69,471.6,433.139
2.7,470.3,435.472
2.71,470.3,436.706
2.72,469.5,438.172
2.73,468.7,440.04
2.74,467.6,441.873
2.75,467,443.59
2.76,466.9,444.71
2.77,465.4,446.289
2.78,464.2,448.389
2.79,463.4,450.355
2.8,462,451.956
2.81,461.3,453.66
2.82,460.1,455.151
2.83,459.6,456.492
2.84,458,458.589
2.85,455.9,460.301
2.86,455.2,462.029
2.87,454.6,462.767
2.88,452.9,464.734
2.89,451.4,466.7
2.9,450.5,467.566
2.91,448,470.269
2.92,445.8,472.236
2.93,444.7,473.833
2.94,443.5,475.305
2.95,442.1,476.41
2.96,440.2,478.505
2.97,439,479.481
2.98,436.2,481.943
2.99,434.4,483.543
3,432.4,484.886
3.01,429.6,487.092
3.02,427.2,488.69
3.03,426.4,489.923
3.04,422.2,492.387
3.05,420.9,493.359
3.06,417.8,495.197
3.07,415.2,497.056
3.08,412.4,498.529
3.09,409.9,500.367
3.1,406.9,502.207
3.11,404.5,503.566
3.12,400.2,505.532
3.13,396.5,507.372
3.14,393.1,508.972
3.15,390.2,510.443
3.16,387.2,512.283
3.17,382.5,514.011
3.18,378.2,515.723
